freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	cycle number	<Ewe>/V	<I>/mA	
1.8217489E+003	2.3103676E+000	7.1324050E-001	1.000000000000000E+000	1.8138506E-001	3.7191057E+000
1.4377013E+003	2.3573027E+000	8.7432605E-001	1.000000000000000E+000	1.8138111E-001	3.7313056E+000
1.1346340E+003	2.4239161E+000	1.0643709E+000	1.000000000000000E+000	1.8138108E-001	3.7407117E+000
8.9585779E+002	2.5068517E+000	1.2971299E+000	1.000000000000000E+000	1.8138458E-001	3.7522414E+000
7.0703772E+002	2.6179004E+000	1.5741659E+000	1.000000000000000E+000	1.8138199E-001	3.7659872E+000
5.5803583E+002	2.7713528E+000	1.9085205E+000	1.000000000000000E+000	1.8138734E-001	3.7771256E+000
4.4042245E+002	2.9746511E+000	2.2960467E+000	1.000000000000000E+000	1.8139340E-001	3.7875748E+000
3.4766345E+002	3.2571073E+000	2.7447822E+000	1.000000000000000E+000	1.8138839E-001	3.7927899E+000
2.7438550E+002	3.6220651E+000	3.2721899E+000	1.000000000000000E+000	1.8138079E-001	3.8051205E+000
2.1659435E+002	4.1230798E+000	3.8522444E+000	1.000000000000000E+000	1.8138473E-001	3.8129246E+000
1.7103999E+002	4.7879577E+000	4.4878397E+000	1.000000000000000E+000	1.8139194E-001	3.8234296E+000
1.3495683E+002	5.6911922E+000	5.0939641E+000	1.000000000000000E+000	1.8139556E-001	3.8317740E+000
1.0653436E+002	6.7898078E+000	5.5726352E+000	1.000000000000000E+000	1.8138501E-001	3.8367658E+000
8.4111839E+001	8.1221476E+000	5.8251476E+000	1.000000000000000E+000	1.8138479E-001	3.8387775E+000
6.6380722E+001	9.5229921E+000	5.7848673E+000	1.000000000000000E+000	1.8139721E-001	3.8481650E+000
5.2397697E+001	1.0911131E+001	5.4087029E+000	1.000000000000000E+000	1.8139854E-001	3.8522625E+000
4.1363316E+001	1.2056265E+001	4.6485853E+000	1.000000000000000E+000	1.8139896E-001	3.8597877E+000
3.2649265E+001	1.2833209E+001	3.8204470E+000	1.000000000000000E+000	1.8139918E-001	3.8625255E+000
2.5766790E+001	1.3335865E+001	2.9015996E+000	1.000000000000000E+000	1.8140888E-001	3.8642018E+000
2.0331816E+001	1.3643174E+001	2.1399171E+000	1.000000000000000E+000	1.8139648E-001	3.8680203E+000
1.6053095E+001	1.3746564E+001	1.3685734E+000	1.000000000000000E+000	1.8140143E-001	3.8767371E+000
