freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	cycle number	<Ewe>/V	<I>/mA	
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987441E-001	1.1929005E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987620E-001	1.1885122E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987528E-001	1.1835777E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987489E-001	1.1788542E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988207E-001	1.1743387E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988118E-001	1.1701252E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988276E-001	1.1660143E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987838E-001	1.1619952E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988079E-001	1.1581609E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987873E-001	1.1545339E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987534E-001	1.1509498E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988341E-001	1.1475614E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988246E-001	1.1442387E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988481E-001	1.1408755E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987999E-001	1.1377827E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9989244E-001	1.1347722E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9989790E-001	1.1316858E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988887E-001	1.1286653E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988925E-001	1.1258826E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987379E-001	1.1230807E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9989352E-001	1.1202797E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987498E-001	1.1176194E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9986681E-001	1.1150554E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987307E-001	1.1123819E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988422E-001	1.1098400E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987942E-001	1.1073814E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9986681E-001	1.1049258E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987343E-001	1.1025668E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988255E-001	1.1002724E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9988815E-001	1.0980719E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987641E-001	1.0957000E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987283E-001	1.0934511E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9989608E-001	1.0913286E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987975E-001	1.0890967E+002
0.0000000E+000	0.0000000E+000	0.0000000E+000	1.000000000000000E+000	4.9987867E-001	1.0869560E+002
5.0001852E+004	1.8344710E+000	-3.9571732E-002	1.000000000000000E+000	4.9988589E-001	1.0703748E+002
3.9461480E+004	1.8368083E+000	-1.4412232E-002	1.000000000000000E+000	4.9989262E-001	1.0603873E+002
3.1147934E+004	1.8421777E+000	1.2076191E-002	1.000000000000000E+000	4.9989909E-001	1.0466659E+002
2.4588033E+004	1.8471650E+000	3.3988260E-002	1.000000000000000E+000	4.9988121E-001	1.0340110E+002
1.9410633E+004	1.8547428E+000	5.9631832E-002	1.000000000000000E+000	4.9989113E-001	1.0261233E+002
1.5318811E+004	1.8657653E+000	8.7037995E-002	1.000000000000000E+000	4.9988642E-001	1.0150590E+002
1.2089894E+004	1.8774998E+000	1.1267434E-001	1.000000000000000E+000	4.9988595E-001	1.0079854E+002
9.5475840E+003	1.8930725E+000	1.4285152E-001	1.000000000000000E+000	4.9985492E-001	9.9800354E+001
7.5337441E+003	1.9150391E+000	1.7451108E-001	1.000000000000000E+000	4.9986658E-001	9.9081856E+001
5.9476943E+003	1.9453624E+000	2.0542127E-001	1.000000000000000E+000	4.9987641E-001	9.8252625E+001
4.6935005E+003	1.9831694E+000	2.3813042E-001	1.000000000000000E+000	4.9988157E-001	9.7362183E+001
3.7038176E+003	2.0323360E+000	2.6998281E-001	1.000000000000000E+000	4.9988383E-001	9.6497787E+001
2.9240623E+003	2.0861750E+000	2.9785180E-001	1.000000000000000E+000	4.9988976E-001	9.5683350E+001
2.3077876E+003	2.1512153E+000	3.1670356E-001	1.000000000000000E+000	4.9989116E-001	9.4910576E+001
1.8217489E+003	2.2216063E+000	3.2820600E-001	1.000000000000000E+000	4.9989858E-001	9.4191032E+001
1.4377013E+003	2.2937706E+000	3.2594225E-001	1.000000000000000E+000	4.9989033E-001	9.3503181E+001
1.1346340E+003	2.3624959E+000	3.1471530E-001	1.000000000000000E+000	4.9989414E-001	9.2850578E+001
